A B C
97 70 72
73 56 76
91 59 14
7 16 38
81 56 19
1 97 96
42 14 81
39 34 27
65 18 3
21 98 20
95 95 84
57 46 26
42 27 28
79 3 69
2 26 93
85 11 19
5 77 69
14 67 24
19 91 21
91 68 90
30 88 33
2 51 91
79 13 10
77 14 13
44 56 78
81 95 20
45 72 38
40 15 84
51 90 6
28 73 42
88 24 8
79 25 94
59 94 1
27 44 5
9 33 1
92 61 6
48 43 38
89 41 89
54 6 35
87 71 51
82 14 45
14 18 89
91 2 61
58 15 95
98 38 1
89 91 74
72 28 99
10 42 1
60 84 13
80 32 59
78 5 12
36 31 54
65 40 8
72 37 98
14 92 87
63 18 46
92 89 63
93 31 12
65 76 54
97 52 2
16 21 3
36 81 20
13 20 82
78 30 17
42 55 57
12 34 75
49 16 73
55 36 33
91 56 19
64 28 30
48 87 10
26 88 19
79 66 47
26 41 30
26 59 52
100 54 49
82 38 9
84 29 84
100 73 45
66 60 84
19 29 100
47 42 100
28 53 40
95 11 46
7 98 64
74 61 82
60 40 70
79 77 94
67 23 22
59 90 12
13 100 85
92 20 2
24 75 22
94 79 50
54 71 86
100 22 50
49 39 72
73 20 88
68 10 24
7 55 41
54 17 88
81 59 15
87 49 20
76 22 21
26 81 37
51 64 21
72 9 52
63 14 43
65 92 47
73 71 68
56 2 29
38 19 55
9 84 55
78 18 53
47 99 13
12 15 64
21 86 76
57 98 92
74 85 27
30 19 86
77 53 76
95 94 67
84 70 45
74 100 14
81 99 1
14 15 40
9 80 32
37 78 60
5 29 67
6 19 14
34 73 100
96 66 84
85 67 93
26 83 29
59 7 17
51 87 19
38 38 76
32 72 81
56 61 2
96 70 11
95 9 75
80 3 5
73 39 40
51 34 91
11 80 68
57 59 86
18 81 75
60 10 94
78 2 43
28 54 30
78 42 79
78 71 5
45 89 18
92 74 68
60 93 18
36 30 33
66 97 89
74 13 54
47 73 49
27 3 77
24 16 25
41 95 68
5 72 51
19 32 91
4 69 63
81 74 18
30 37 50
27 24 30
28 24 29
47 43 3
30 17 36
9 78 32
22 36 62
19 9 56
93 38 14
64 31 62
25 87 63
91 62 93
95 93 51
75 94 12
44 5 85
56 23 85
61 50 14
50 97 68
77 39 21
58 90 86
17 49 74
27 4 11
46 78 6
37 74 52
57 9 21
62 2 29
28 23 46
38 49 21
49 79 2
76 28 96
74 74 7
9 90 20
22 3 34
4 83 87
71 29 16
85 70 44
41 42 95
